source,intermediate_1,intermediate_2,intermediate_3,target,stmt_type_1,stmt_type_2,stmt_type_3,stmt_type_4,belief_1,belief_2,belief_3,belief_4,evidence_1,evidence_2,evidence_3,evidence_4,logfoldchange,pval
ABHD17C,KRAS,CKS1B,MIR1258,IPP,Depalmitoylation,Complex,Activation,DecreaseAmount,0.6351178583063539,0.7758941660771121,0.5346178581543906,0.6301266297471854,1,2,1,1,1.2829194,0.0201102460940725
ABCA5,NR4A1,uniprot.chain:PRO_0000032458,MIR205,ABCA5,Complex,Inhibition,Activation,DecreaseAmount,0.8302066725941236,0.4410755819620935,0.5346178581543906,0.6324007949925685,1,2,1,1,-2.8637323,0.039374999776927
AGPAT1,uniprot:O07582,CD48,uniprot:Q9ZHD2,DYNLRB1,Complex,Complex,Activation,DecreaseAmount,0.4261616001712757,0.4261616001712757,0.37152225732969113,0.47385749870081684,1,1,1,1,-0.45270944,7.819870483383205e-05
AGPAT1,uniprot:Q8MUF9,uniprot.chain:PRO_0000032458,ELK1,MRPL54,Phosphorylation,Activation,Inhibition,DecreaseAmount,0.5321639605290098,0.36680286613646285,0.43574026209367445,0.6301266297471854,1,2,1,1,-0.6634935,9.606511457891036e-05
ACSS2,uniprot:O74845,NR1H4,MIR802,RPL7L1,Acetylation,Activation,Inhibition,DecreaseAmount,0.46857240449751425,0.37152225732969113,0.48240926517014815,0.6309317981560123,1,1,1,2,0.66262776,2.9230201055757193e-05
AAGAB,uniprot:P0DTD1,uniprot:V9VHH0,PPL,CORO1B,Complex,Complex,Complex,IncreaseAmount,0.8302066725941236,0.4107943307806583,0.4261616001712757,0.48445268803510766,1,23,1,1,0.7797119,7.615691679627148e-05
ARHGAP26,ASAP1,uniprot:Q9FII7,SMC5,SLF2,Complex,Complex,Complex,IncreaseAmount,0.4261616001712757,0.4443350122709595,0.4443350122709595,0.48445268803510766,1,1,1,1,-1.4051522,0.0421915596421142
AGPAT4,PPARG,uniprot:Q9XHG2,ATF2,SARAF,IncreaseAmount,Inhibition,Phosphorylation,DecreaseAmount,0.48445268803510766,0.414159988237093,0.5321639605290098,0.6301266297471854,1,1,1,1,-0.5954938,0.0003241999940002
BAG6,HIF1A,MIR361,MIR484,MFSD12,Inhibition,Inhibition,Activation,DecreaseAmount,0.414159988237093,0.5820018208830471,0.4526838539358291,0.6301266297471854,1,1,1,1,-1.2786908,0.0451122699234468
CALCOCO1,PPARG,uniprot.chain:PRO_0000420660,uniprot.chain:PRO_0000032458,ANKRD1,IncreaseAmount,Activation,Activation,IncreaseAmount,0.48445268803510766,0.37152225732969113,0.4176935059047677,0.48445268803510766,1,1,10,1,-0.9110734,1.2722388583888777e-05
ARG2,NOS2,uniprot:U5L397,IL2,FKBP15,Inhibition,Activation,Inhibition,DecreaseAmount,0.43574026209367445,0.37152225732969113,0.4410755819620935,0.47385749870081684,1,1,2,1,-1.869266,0.0489591747202917
AMT,uniprot:Q38424,NR1H4,MIR802,FGD6,Complex,DecreaseAmount,Inhibition,DecreaseAmount,0.4261616001712757,0.47385749870081684,0.48240926517014815,0.6301266297471854,1,1,1,1,-1.3807425,0.0386167060235386
CEP41,uniprot:P0DTD1,uniprot:P0DTC5,MROH1,MROH1,Complex,Complex,Complex,IncreaseAmount,0.8302066725941236,0.422856899694916,0.8302066725941236,0.48445268803510766,1,3,2,1,-3.210191,0.007595160184643
CDKN2B,BCL2,uniprot:Q9FG01,UBE2O,RPL35,IncreaseAmount,Activation,Inhibition,IncreaseAmount,0.5256427349609928,0.37152225732969113,0.48979523126346125,0.48445268803510766,2,1,8,1,0.13355091,0.0003463289217147
CX3CL1,PTPRC,PXDNL,uniprot:P24641,PITRM1,Complex,Complex,Complex,IncreaseAmount,0.4443350122709595,0.41967149835353146,0.4443350122709595,0.48445268803510766,1,5,1,1,-1.3605058,0.0032234246037972
CPNE5,PRNP,uniprot:P81460,uniprot:P28171,CRIM1,Complex,Complex,Activation,IncreaseAmount,0.8302066725941236,0.4261616001712757,0.36680286613646285,0.48445268803510766,1,1,2,1,-0.48826474,0.0001724198256254
DMRTA1,uniprot:Q24174,uniprot:Q848S6,uniprot:Q6DGB6,CNTRL,Activation,Complex,Complex,IncreaseAmount,0.37152225732969113,0.4261616001712757,0.4261616001712757,0.45837692893082216,1,1,1,1,1.3207554,0.0278379476796519
DHCR24,RELA,uniprot:Q9W4S7,PAX4,KRTCAP2,Inhibition,Complex,Complex,DecreaseAmount,0.43574026209367445,0.4261616001712757,0.4244737435129522,0.6309317981560123,1,1,2,2,-0.44345737,0.0003593976565673
DHTKD1,NFE2L2,uniprot.chain:PRO_0000420660,INS,MBOAT7,Inhibition,Inhibition,Activation,DecreaseAmount,0.43574026209367445,0.43574026209367445,0.3758304178537062,0.47385749870081684,1,1,4,1,-0.6972076,4.468012219248288e-05
GABARAPL2,Actin,uniprot:Q9PT63,uniprot:Q9VEZ3,COX7A2L,Activation,Complex,Complex,IncreaseAmount,0.37152225732969113,0.4244737435129522,0.4571648567429306,0.48445268803510766,1,1,2,1,-0.56487966,0.0002008015618275
FLI1,uniprot:Q56148,uniprot:Q9W4S7,PAX4,ATP6V1A,Complex,Complex,Complex,DecreaseAmount,0.4261616001712757,0.4261616001712757,0.4244737435129522,0.6301266297471854,1,1,2,1,-1.5693107,5.1221236603355726e-05
FLI1,uniprot:P27958,uniprot:U5L397,uniprot:P27958,LXN,Complex,Activation,Activation,DecreaseAmount,0.4244737435129522,0.37152225732969113,0.37152225732969113,0.47385749870081684,2,1,1,1,-0.65657574,6.241095077992677e-05
FLI1,uniprot:Q53034,SELP,uniprot:Q4R0W2,TBCA,Inhibition,Complex,Complex,IncreaseAmount,0.414159988237093,0.4261616001712757,0.4443350122709595,0.48445268803510766,1,1,1,1,0.32354835,0.0001394148784979
CYB561D1,YTHDC1,uniprot:Q9W4S7,POU1F1,WDR73,Complex,Complex,Complex,DecreaseAmount,0.8302066725941236,0.4244737435129522,0.41381724500083616,0.6301266297471854,1,2,14,1,-1.3114281,0.0490603781565268
GRB14,uniprot:P57430,uniprot:Q89613,uniprot:Q64902,RPS27A,Complex,Complex,Activation,IncreaseAmount,0.4073065404350923,0.41967149835353146,0.37152225732969113,0.48445268803510766,4,5,1,1,-0.1334641,1.549316317684321e-05
GSS,uniprot:Q24174,BCL2L1,MIR608,C19orf53,Complex,Inhibition,DecreaseAmount,DecreaseAmount,0.4261616001712757,0.43574026209367445,0.6324007949925685,0.6309317981560123,1,1,1,2,0.40453184,0.0001843476224666
HHAT,DNMT1,uniprot:Q84Z02,ARIH2,RNF126,Inhibition,Activation,Complex,DecreaseAmount,0.43574026209367445,0.37152225732969113,0.4571648567429306,0.47385749870081684,1,1,2,1,-1.3393217,0.0232693024223771
GPSM3,INS,uniprot:P96315,uniprot:P11858,LGALS8,Activation,Inhibition,Complex,IncreaseAmount,0.4526838539358291,0.43574026209367445,0.4443350122709595,0.48445268803510766,1,1,1,1,-1.6624054,0.0394719554941204
GPSM3,APP,uniprot:Q9ZPE7,uniprot:J3F2B0,LRBA,Inhibition,Complex,Complex,DecreaseAmount,0.43574026209367445,0.3880379950054804,0.4244737435129522,0.47385749870081684,1,65,2,1,-1.605459,0.0228558579918925
GPSM3,INS,uniprot:Q9FZC4,RFX1,KLHDC10,Activation,Inhibition,Complex,DecreaseAmount,0.4526838539358291,0.4410755819620935,0.4443350122709595,0.6301266297471854,1,2,1,1,-1.6014093,0.0257036788652483
GPSM3,uniprot.chain:PRO_0000014901,PTGS2,MIR1297,C1orf50,Inhibition,Activation,Complex,DecreaseAmount,0.43574026209367445,0.36638711543422176,0.6486279669173759,0.6301266297471854,1,3,1,1,-1.2706735,0.0318129338043283
GPSM3,uniprot:Q18LE5,uniprot.chain:PRO_0000032458,uniprot:Q9NFL6,PWP1,Activation,Inhibition,Complex,IncreaseAmount,0.37152225732969113,0.43574026209367445,0.4261616001712757,0.45837692893082216,1,1,1,1,-0.8914811,0.0003188099582863
GPSM3,INS,uniprot.chain:PRO_0000024970,PAX3,HMGN1,Activation,Activation,Activation,DecreaseAmount,0.4526838539358291,0.36296545106278455,0.37152225732969113,0.6301266297471854,1,2,1,1,-0.35017675,0.0004049415654958
HMGCR,BCL2,uniprot:Q9FG01,UBE2O,RPL35,Complex,Activation,Inhibition,IncreaseAmount,0.4261616001712757,0.37152225732969113,0.48979523126346125,0.48445268803510766,1,1,8,1,-0.15649861,4.560190906381708e-05
INPP5B,PTEN,uniprot:Q69546,uniprot:Q09920,GLRX3,Complex,IncreaseAmount,Complex,DecreaseAmount,0.40987390337244567,0.48445268803510766,0.4443350122709595,0.47385749870081684,6,1,1,1,-1.150142,0.0001810082481065
KALRN,uniprot:P59082,uniprot.chain:PRO_0000014901,NFATC1,TMEM64,Complex,Activation,DecreaseAmount,IncreaseAmount,0.4261616001712757,0.37152225732969113,0.5034580088219961,0.48445268803510766,1,1,4,1,-1.4239678,0.0390531225596013
KDELR2,MYC,uniprot:Q9ZU50,PAX5,KDELR2,Complex,Complex,Complex,DecreaseAmount,0.8302066725941236,0.40935594617335336,0.4261616001712757,0.6301266297471854,1,4,1,1,-1.186291,1.141276465077406e-12
LSP1,uniprot:Q9NFL6,uniprot.chain:PRO_0000032458,uniprot:Q9F4F7,CLN5,Inhibition,Complex,Activation,DecreaseAmount,0.4410755819620935,0.4261616001712757,0.37152225732969113,0.47385749870081684,2,1,1,1,-1.2464106,0.0253701580863701
LAPTM4A,NDUFB6,uniprot.chain:PRO_0000014901,IRF7,LAPTM4A,Inhibition,Activation,DecreaseAmount,DecreaseAmount,0.43574026209367445,0.37152225732969113,0.47385749870081684,0.6301266297471854,1,1,1,1,-0.9113737,3.752813800137277e-08
MAP3K6,LIMD1,uniprot:W0FFD7,PAX2,TMEM53,Complex,Complex,DecreaseAmount,DecreaseAmount,0.8329154561839106,0.4443350122709595,0.47385749870081684,0.6301266297471854,2,1,1,1,1.3743119,0.0345855808806136
GPR162,HP,uniprot.chain:PRO_0000032458,GAPDH,OST4,Complex,Complex,Activation,DecreaseAmount,0.4443350122709595,0.4261616001712757,0.37152225732969113,0.6324007949925685,1,1,1,1,-0.30639458,5.182036398349253e-05
MANEA,HDAC1,uniprot:P03679,uniprot:Q9T1U6,CAP1,IncreaseAmount,Activation,Activation,DecreaseAmount,0.48445268803510766,0.41427913529246985,0.37152225732969113,0.47385749870081684,1,2,1,1,-0.49272284,0.0001135951980998
MFSD4B,INS,uniprot:Q9W7E9,RAB4A,RUFY1,DecreaseAmount,DecreaseAmount,Complex,IncreaseAmount,0.47385749870081684,0.47385749870081684,0.4261616001712757,0.48445268803510766,1,1,1,1,-1.5021538,0.0263568232525135
MGA,uniprot:P0DTD1,uniprot:Q9W148,ATF4,CMSS1,Complex,Complex,Activation,DecreaseAmount,0.822125601111447,0.5529170752134147,0.37152225732969113,0.6301266297471854,5,6,1,1,-0.80168575,0.0001421082374839
MICALL2,RAC1,uniprot:Q9ZPE7,uniprot:P03230,CHMP1A,Inhibition,Activation,Complex,DecreaseAmount,0.43574026209367445,0.37152225732969113,0.4261616001712757,0.47385749870081684,1,1,1,1,-1.4085084,0.0498994942815116
MRPL34,IPO5,uniprot:Q8JSN8,MT-ND6,MT-ND4L,Complex,Complex,Complex,IncreaseAmount,0.8329154561839106,0.48904482173560426,0.48904482173560426,0.48445268803510766,2,1,1,1,0.5764586,2.173432759289929e-07
