source,intermediate_1,intermediate_2,intermediate_3,target,stmt_type_1,stmt_type_2,stmt_type_3,stmt_type_4,belief_1,belief_2,belief_3,belief_4,evidence_1,evidence_2,evidence_3,evidence_4,logfoldchange,pval
RASIP1,CDC42,SLC33A1,uniprot.chain:PRO_0000032458,SERPINE1,Complex,Complex,Complex,IncreaseAmount,0.7758941660771121,0.8302066725941236,0.7292018436502476,0.8552021769358709,2,1,281,142,-0.43553644,3.51416255056377e-05
TTC32,NCAPH2,JUN,KLF6,KLF6,Complex,Complex,Complex,DecreaseAmount,0.8302066725941236,0.8302066725941236,0.7268790190252898,0.711318473376888,1,1,7,8,-0.7835853,0.0002384695679751
CALCOCO1,HNRNPL,uniprot:Q2HR75,YAP1,ANKRD1,Complex,Complex,Complex,IncreaseAmount,0.8302066725941236,0.8302066725941236,0.8302066725941236,0.7058844060592511,1,1,1,10,-0.9110734,1.2722388583888777e-05
ZNF229,TRIM28,uniprot:Q9QR71,HIF1A,ZEB1,Complex,Complex,Complex,IncreaseAmount,0.8302066725941236,0.8302066725941236,0.8329154561839106,0.7505456943911131,1,1,2,20,-0.68174714,0.0003677283088135
XPO7,RBL1,SMAD4,DLX4,TOP2A,Complex,Complex,Complex,IncreaseAmount,0.8302066725941236,0.9234759096906432,0.9225583487095396,0.7116448013452759,1,3,25,6,1.7889636,0.0053932340957868
XPO7,VCPIP1,uniprot:Q157B2,E2F1,CCNA2,Complex,Complex,Complex,IncreaseAmount,0.8302066725941236,0.7280637938267757,0.7202887990436619,0.7003293445885816,1,22,20,4,1.6257229,0.0386072540047215
XPO7,RBBP7,uniprot:Q9Y1T2,TP53,PRC1,Complex,Complex,Complex,DecreaseAmount,0.8302066725941236,0.8302066725941236,0.8302066725941236,0.7450726472613035,1,1,1,14,1.5607872,0.0001985240273355
XPO7,MAS1,uniprot.chain:PRO_0000032458,SMAD3,TAGLN,Complex,Complex,Phosphorylation,IncreaseAmount,0.8329154561839106,0.7160992847170985,0.7660096119184598,0.7538414223916292,2,74,23,9,-1.2925625,0.039747953781872
XPO7,RBBP7,uniprot:Q9Y1T2,TP53,RPS27L,Complex,Complex,Complex,DecreaseAmount,0.8302066725941236,0.8302066725941236,0.8302066725941236,0.7092531588847264,1,1,1,3,-0.349045,1.680474496060589e-05
PVT1,NOP2,uniprot:Q9Y1T2,LYAR,LGALS1,Complex,Complex,Complex,IncreaseAmount,0.8190119678752638,0.8302066725941236,0.8302066725941236,0.7453781291860996,10,1,1,15,-0.20831463,4.0855045422974384e-11
