source,intermediate_1,intermediate_2,intermediate_3,target,stmt_type_1,stmt_type_2,stmt_type_3,stmt_type_4,belief_1,belief_2,belief_3,belief_4,evidence_1,evidence_2,evidence_3,evidence_4,logfoldchange,pval
ALS2CL,RAB5C,LBR,PGR,RANBP9,Activation,Complex,Complex,DecreaseAmount,0.37152225732969113,0.8302066725941236,0.4261616001712757,0.6309317981560123,1,1,1,2,-2.9851725,0.0228723840300194
ALS2CL,RAB5C,LBR,MECOM,JPT2,Activation,Complex,Complex,DecreaseAmount,0.37152225732969113,0.8302066725941236,0.8302066725941236,0.6301266297471854,1,1,1,1,-1.8841251,0.0429835764175636
ALS2CL,RAB5C,LBR,MBOAT7,CRIP2,Activation,Complex,Complex,IncreaseAmount,0.37152225732969113,0.8302066725941236,0.8302066725941236,0.48445268803510766,1,1,1,1,0.26691,0.000419463063874
AGPAT4,REL,BCL3,SP1,SARAF,Complex,Complex,Complex,DecreaseAmount,0.8302066725941236,0.5569884418680263,0.4443350122709595,0.6301266297471854,1,5,1,1,-0.5954938,0.0003241999940002
ARG2,BCL2,RGS2,IL2,FKBP15,Activation,IncreaseAmount,Activation,DecreaseAmount,0.37152225732969113,0.48445268803510766,0.37152225732969113,0.47385749870081684,1,1,1,1,-1.869266,0.0489591747202917
AGPAT1,HAL,RGN,FDFT1,DYNLRB1,Complex,Complex,Complex,IncreaseAmount,0.8302066725941236,0.4261616001712757,0.40980572722066966,0.48445268803510766,1,1,42,1,-0.45270944,7.819870483383205e-05
AGPAT1,HAL,RAF1,ELK1,MRPL54,Complex,Complex,IncreaseAmount,DecreaseAmount,0.8302066725941236,0.8302066725941236,0.6163664161553967,0.6301266297471854,1,1,1,1,-0.6634935,9.606511457891036e-05
B3GNT8,ATR,RGR,SOX9,TMEM132A,Complex,Complex,Complex,DecreaseAmount,0.8302066725941236,0.4443350122709595,0.4443350122709595,0.6301266297471854,1,1,1,1,-1.2307026,0.0333650914991005
B3GNT8,ATR,RGN,NR1H4,CYP51A1,Complex,Complex,IncreaseAmount,DecreaseAmount,0.8302066725941236,0.4261616001712757,0.48445268803510766,0.47385749870081684,1,1,1,1,0.47987893,0.0001145320542219
CALCOCO1,BCL2L1,MCL1,AGAP2,ANKRD1,IncreaseAmount,Complex,Inhibition,DecreaseAmount,0.48445268803510766,0.8444287068977416,0.43574026209367445,0.47385749870081684,1,287,1,1,-0.9110734,1.2722388583888777e-05
ARHGAP26,RAC3,RBMX,SMC5,SLF2,Gap,Complex,Complex,IncreaseAmount,0.6351178583063539,0.8302066725941236,0.8302066725941236,0.48445268803510766,1,1,1,1,-1.4051522,0.0421915596421142
AAGAB,BCAR1,SLX4,USP45,CORO1B,Complex,Complex,Complex,DecreaseAmount,0.8302066725941236,0.8302066725941236,0.8303458270021431,0.47385749870081684,1,1,4,1,0.7797119,7.615691679627148e-05
CPNE5,BCL2L1,MCL1,YAP1,CRIM1,IncreaseAmount,Complex,Complex,IncreaseAmount,0.48445268803510766,0.8444287068977416,0.4261616001712757,0.48445268803510766,1,287,1,1,-0.48826474,0.0001724198256254
CX3CL1,REN,RENBP,SPP1,PITRM1,Inhibition,Activation,Inhibition,DecreaseAmount,0.4763268720714353,0.37152225732969113,0.4410755819620935,0.47385749870081684,3,1,2,1,-1.3605058,0.0032234246037972
CYB561D1,AQP6,REN,POU1F1,WDR73,Complex,Activation,Complex,DecreaseAmount,0.8302066725941236,0.37152225732969113,0.4073065404350923,0.6301266297471854,1,1,4,1,-1.3114281,0.0490603781565268
